tt,opt,tree,gap,verdict,t_sec
4091739373,5,5,0,gap0,8.90
2775183600,4,4,0,gap0,2.20
1437259755,4,4,0,gap0,2.08
3435949260,4,4,0,gap0,1.89
3368338632,4,4,0,gap0,2.18
519106048,4,4,0,gap0,2.30
2774185851,4,4,0,gap0,1.89
2523319500,4,4,0,gap0,1.89
1520801385,4,4,0,gap0,1.71
2574217113,5,6,1,gap1,19.98
2272830810,4,4,0,gap0,1.82
3706703052,4,4,0,gap0,2.39
969329715,4,4,0,gap0,1.99
1789302105,4,4,0,gap0,1.90
1341399025,4,4,0,gap0,1.90
3392484810,5,5,0,gap0,4.59
1500161685,5,5,0,gap0,4.89
1216614945,4,4,0,gap0,2.31
2526451305,4,4,0,gap0,2.00
4075879935,4,4,0,gap0,2.01
2624351388,4,4,0,gap0,2.29
265470750,5,5,0,gap0,8.70
1700353685,5,5,0,gap0,6.50
1520773080,6,6,0,gap0,35.60
1433761655,4,4,0,gap0,2.80
1516676505,5,5,0,gap0,5.09
168101385,4,4,0,gap0,1.99
2185303080,5,5,0,gap0,5.72
2533317375,4,4,0,gap0,2.28
2845485738,4,4,0,gap0,2.31
895497062,5,5,0,gap0,10.43
2576980389,5,5,0,gap0,6.71
152634918,5,5,0,gap0,12.49
3790475008,4,4,0,gap0,1.79
1771465065,4,4,0,gap0,1.61
4278230016,4,4,0,gap0,2.50
1159021893,4,4,0,gap0,1.98
2506778010,4,4,0,gap0,1.99
570433568,5,5,0,gap0,8.20
2027063085,4,4,0,gap0,2.00
1111639106,5,5,0,gap0,9.11
1103016270,5,5,0,gap0,7.90
1721353020,5,5,0,gap0,5.00
2862175845,5,5,0,gap0,6.50
285204704,5,5,0,gap0,16.69
2025120210,5,5,0,gap0,7.18
1195930756,5,5,0,gap0,6.21
1090524160,4,4,0,gap0,1.81
3788697840,4,4,0,gap0,2.00
411116610,5,5,0,gap0,5.69
1182173625,5,6,1,gap1,22.69
803200815,4,4,0,gap0,1.90
3034679085,5,5,0,gap0,6.42
2282260608,4,4,0,gap0,2.02
3482259215,4,4,0,gap0,1.92
4286119815,4,4,0,gap0,2.29
3301492932,4,4,0,gap0,2.48
2728546722,4,4,0,gap0,2.02
2784979251,4,4,0,gap0,2.21
4143972351,4,4,0,gap0,2.28
1717606800,4,4,0,gap0,2.00
1767544485,4,4,0,gap0,1.31
4005292210,6,6,0,gap0,30.70
2317363840,4,4,0,gap0,1.81
3732634590,4,4,0,gap0,2.18
2818593792,4,4,0,gap0,1.89
2576978745,4,4,0,gap0,2.42
2523490665,4,4,0,gap0,1.81
1017824170,5,5,0,gap0,5.99
8061111,4,4,0,gap0,1.80
4018103910,5,5,0,gap0,15.59
2573637984,5,5,0,gap0,6.91
1556925644,5,5,0,gap0,9.30
